 #    eta          f1          f2            f3
    0.000000     0.000000     0.000000     0.333219
    0.166667     0.004628     0.055531     0.333155
    0.333333     0.018508     0.111030     0.332834
    0.500000     0.041630     0.166433     0.332001
    0.666667     0.073968     0.221633     0.330405
    0.833333     0.115478     0.276485     0.327807
    1.000000     0.166085     0.330800     0.323984
    1.166667     0.225682     0.384361     0.318738
    1.333333     0.294122     0.436915     0.311909
    1.500000     0.371214     0.488189     0.303380
    1.666667     0.456721     0.537895     0.293092
    1.833333     0.550357     0.585740     0.281046
    2.000000     0.651788     0.631436     0.267313
    2.166667     0.760634     0.674715     0.252031
    2.333333     0.876472     0.715334     0.235406
    2.500000     0.998841     0.753094     0.217703
    2.666667     1.127252     0.787839     0.199236
    2.833333     1.261194     0.819470     0.180348
    3.000000     1.400146     0.847949     0.161400
    3.166667     1.543583     0.873295     0.142747
    3.333333     1.690989     0.895584     0.124723
    3.500000     1.841867     0.914946     0.107622
    3.666667     1.995742     0.931556     0.091687
    3.833333     2.152173     0.945621     0.077102
    4.000000     2.310757     0.957378     0.063984
    4.166667     2.471128     0.967076     0.052390
    4.333333     2.632965     0.974969     0.042319
    4.500000     2.795988     0.981305     0.033719
    4.666667     2.959957     0.986323     0.026498
    4.833333     3.124671     0.990243     0.020536
    5.000000     3.289963     0.993262     0.015694
